s,a,r,s_prime,done_mask
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],1,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],1,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],1,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],1,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],1,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],1,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],1,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],0.0
[0.5 0.5],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],1,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],1,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],1,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],1,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],1,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],1,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],1,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],1,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],1,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],1,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
[0.42857143 0.57142857],0,0,[0.42857143 0.57142857],1.0
